Nama Dokter,Rumah Sakit,Latitude,Longitude,Alamat,dokterRS
"dr. Romi Ermawan, Sp.JP",Siloam Hospitals Mataram,-8.5937875,116.0987041,"Mataram, Kota Mataram","dr. Romi Ermawan, Sp.JP - Siloam Hospitals Mataram"
"dr. Rosmarini Hapsari, Sp.JP, FIHA",Mayapada Hospital Tangerang,-6.2050294,106.6415185,"Tangerang, Tangerang","dr. Rosmarini Hapsari, Sp.JP, FIHA - Mayapada Hospital Tangerang"
"dr. Roy Christian, Sp.JP",Mayapada Hospital Tangerang,-6.2050294,106.6415185,"Tangerang, Tangerang","dr. Roy Christian, Sp.JP - Mayapada Hospital Tangerang"
"Dr. dr. Rubiana Sukardi, Sp.A (K)",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","Dr. dr. Rubiana Sukardi, Sp.A (K) - Siloam Hospitals Lippo Village"
"dr. Saskia Dyah Handari, Sp.JP",Siloam Hospitals Surabaya,-7.2740111,112.7464397,"Gubeng, Kota Surabaya","dr. Saskia Dyah Handari, Sp.JP - Siloam Hospitals Surabaya"
"dr. Sherly, Sp.JP",RS Sumber Kasih Cirebon,-6.7088193,108.5597664,"Kejaksan, Kota Cirebon","dr. Sherly, Sp.JP - RS Sumber Kasih Cirebon"
"dr. Sidhi Laksono Purwowiyoto, Sp.JP (K), FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Sidhi Laksono Purwowiyoto, Sp.JP (K), FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Sissy Kartini Aminda, Sp.JP",Mayapada Hospital Kuningan,-6.2186758,106.8314818,"Setiabudi, Jakarta Selatan","dr. Sissy Kartini Aminda, Sp.JP - Mayapada Hospital Kuningan"
"dr. Steven Rudy Utomo, Sp.JP (K), FIHA",RS Mitra Keluarga Surabaya,-7.2574719,112.7520883,"Sukomanunggal, Kota Surabaya","dr. Steven Rudy Utomo, Sp.JP (K), FIHA - RS Mitra Keluarga Surabaya"
"dr. Suhendi Wijaya, Sp.JP",Siloam Hospitals Putera Bahagia Cirebon,-6.7465875,108.5626893,"Harjamukti, Kota Cirebon","dr. Suhendi Wijaya, Sp.JP - Siloam Hospitals Putera Bahagia Cirebon"
"Dr. dr. Sunanto, Sp.JP (K)",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","Dr. dr. Sunanto, Sp.JP (K) - Siloam Hospitals Lippo Village"
"dr. Tania Andriani, Sp.JP",RS Cibitung Medika,-6.2531998,107.0861495,"Cibitung, Kabupaten Bekasi","dr. Tania Andriani, Sp.JP - RS Cibitung Medika"
"dr. Tanto Budiharto, Sp.JP",RS Mitra Keluarga Kenjeran,-7.2513324,112.7849887,"Mulyorejo, Kota Surabaya","dr. Tanto Budiharto, Sp.JP - RS Mitra Keluarga Kenjeran"
"dr. Teddy Arnold Sihite, Sp.JP (K)",RS Immanuel,-6.9355593,107.5960894,"Bojongloa Kidul, Kota Bandung","dr. Teddy Arnold Sihite, Sp.JP (K) - RS Immanuel"
"dr. Tengku Mohamad Budiansyah, MHA., Sp.JP., FIHA",Siloam Hospitals Bogor,-6.5956638,106.8046881,"Bogor Tengah, Bogor","dr. Tengku Mohamad Budiansyah, MHA., Sp.JP., FIHA - Siloam Hospitals Bogor"
"dr. Teuku Istia Muda Perdan, Sp.JP",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Teuku Istia Muda Perdan, Sp.JP - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Tito Phurbojoyo, Sp.JP, FIHA",RS Mitra Keluarga Gading Serpong,-6.2496202,106.6099875,"Pagedangan, Kabupaten Tangerang","dr. Tito Phurbojoyo, Sp.JP, FIHA - RS Mitra Keluarga Gading Serpong"
"dr. Titus Kurnia Hariadi, Sp.JP",Siloam Hospitals Kebon Jeruk,-6.1908254,106.7636252,"Kebon Jeruk, Jakarta Barat","dr. Titus Kurnia Hariadi, Sp.JP - Siloam Hospitals Kebon Jeruk"
"dr. Utojo Lubiantoro, Sp.JP",RS Mitra Keluarga Kelapa Gading,-6.1520316,106.8973623,"Kelapa Gading, Jakarta Utara","dr. Utojo Lubiantoro, Sp.JP - RS Mitra Keluarga Kelapa Gading"
"dr. Uvitha Yulistin Suchyar, Sp.JP",RS Yarsi,-6.1697915,106.8693086,"Cempaka Putih, Jakarta Pusat","dr. Uvitha Yulistin Suchyar, Sp.JP - RS Yarsi"
"dr. Vekky Sariowan, Sp.JP",Siloam Hospitals Manado,14.876272,124.8376054,"Wenang, Kota Manado","dr. Vekky Sariowan, Sp.JP - Siloam Hospitals Manado"
"dr. Vika Fransiska Kusumaning Candra, Sp.JP",RS Immanuel,-6.9355593,107.5960894,"Bojongloa Kidul, Kota Bandung","dr. Vika Fransiska Kusumaning Candra, Sp.JP - RS Immanuel"
"dr. Vika Fransiska Kusumaning Candra, Sp.JP (Khusus praktek sore)",RS Immanuel,-6.9355593,107.5960894,"Bojongloa Kidul, Kota Bandung","dr. Vika Fransiska Kusumaning Candra, Sp.JP (Khusus praktek sore) - RS Immanuel"
"dr. Vito Anggarino Damay, Sp.JP (K)",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","dr. Vito Anggarino Damay, Sp.JP (K) - Siloam Hospitals Lippo Village"
"dr. Wenni Erwindia, Sp.JP",Siloam Hospitals Surabaya,-7.2740111,112.7464397,"Gubeng, Kota Surabaya","dr. Wenni Erwindia, Sp.JP - Siloam Hospitals Surabaya"
"dr. Widyawan Priyo Pratomo, Sp.JP",RS Mitra Keluarga Waru,-7.3628187,112.7286459,"Waru, Kabupaten Sidoarjo","dr. Widyawan Priyo Pratomo, Sp.JP - RS Mitra Keluarga Waru"
"dr. Windu Prima Dwi Andriana, Sp.JP., FIHA",RS Mitra Keluarga Pondok Tjandra,-7.3445793,112.775427,"Waru, Kabupaten Sidoarjo","dr. Windu Prima Dwi Andriana, Sp.JP., FIHA - RS Mitra Keluarga Pondok Tjandra"
"dr. Wira Kimahesa Anggoro, Sp.JP, FIHA",RS Mitra Keluarga Gading Serpong,-6.2496202,106.6099875,"Pagedangan, Kabupaten Tangerang","dr. Wira Kimahesa Anggoro, Sp.JP, FIHA - RS Mitra Keluarga Gading Serpong"
"dr. Wisnoe Pribadi, Sp.JP",RS Mitra Keluarga Depok,-6.3942172,106.823936,"Pancoran Mas, Depok","dr. Wisnoe Pribadi, Sp.JP - RS Mitra Keluarga Depok"
"dr. Yahya Berkahanto Juwana, Sp.JP, FIHA, Ph.D",RS Yarsi,-6.1697915,106.8693086,"Cempaka Putih, Jakarta Pusat","dr. Yahya Berkahanto Juwana, Sp.JP, FIHA, Ph.D - RS Yarsi"
"dr. Yahya Berkahanto Juwana, Sp.JP",RS Mitra Keluarga Depok,-6.3942172,106.823936,"Pancoran Mas, Depok","dr. Yahya Berkahanto Juwana, Sp.JP - RS Mitra Keluarga Depok"
"Prof. Dr. dr. Yoga Yuniadi, Sp.JP (K)",Siloam Hospitals TB Simatupang,-6.2922669,106.7844429,"Cilandak, Jakarta Selatan","Prof. Dr. dr. Yoga Yuniadi, Sp.JP (K) - Siloam Hospitals TB Simatupang"
"dr. Yudi Fadilla, Sp.JP, FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Yudi Fadilla, Sp.JP, FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"Prof. Dr. dr. Yudi Her Oktaviono, Sp.JP(K), FIHA, FASCC, FSCAI, MM",Siloam Hospitals Surabaya,-7.2740111,112.7464397,"Gubeng, Kota Surabaya","Prof. Dr. dr. Yudi Her Oktaviono, Sp.JP(K), FIHA, FASCC, FSCAI, MM - Siloam Hospitals Surabaya"
"dr. Yusuf Galenta, Sp.JP (K), FIHA",Siloam Hospitals Palangka Raya,-2.2422742,113.9211114,"Pahandut, Kota Palangka Raya","dr. Yusuf Galenta, Sp.JP (K), FIHA - Siloam Hospitals Palangka Raya"
dr. Arvin Sp.JP,RS Melinda 2,-6.9063167,107.5983705,"Cicendo, Kota Bandung",dr. Arvin Sp.JP - RS Melinda 2
"dr. Hawani Sasmaya Prameswari, SpJP(K)",RS Santo Borromeus,-6.8939955,107.6136797,"Coblong, Kota Bandung","dr. Hawani Sasmaya Prameswari, SpJP(K) - RS Santo Borromeus"
"dr. Ifan Citra, Sp. JP",RS Mitra Keluarga Kelapa Gading,-6.1520316,106.8973623,"Kelapa Gading, Jakarta Utara","dr. Ifan Citra, Sp. JP - RS Mitra Keluarga Kelapa Gading"
"dr. Nolly O.H Rantung, SpJP, FIHA",Siloam Hospitals Sentosa Bekasi,-6.2427712,107.0265831,"Bekasi Timur, Bekasi","dr. Nolly O.H Rantung, SpJP, FIHA - Siloam Hospitals Sentosa Bekasi"
"dr. Taufik Delfian, MKed (Cardio), SpJP",RS Mitra Medika Premier,-5.9994441713550595,113.71551751063463,"Medan Petisah, Kota Medan","dr. Taufik Delfian, MKed (Cardio), SpJP - RS Mitra Medika Premier"
"Dr. A. M. Onny Witjaksono, Sp.JP",RS St. Carolus Salemba,-6.1955107,106.8513711,"Senen, Jakarta Pusat","Dr. A. M. Onny Witjaksono, Sp.JP - RS St. Carolus Salemba"
"Dr. Abdillah Lubis M.Ked(Cardio), Sp.JP-FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Abdillah Lubis M.Ked(Cardio), Sp.JP-FIHA - halodoc"
"Dr. Agung Rizka Pratama MMR, Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Agung Rizka Pratama MMR, Sp.JP, FIHA - halodoc"
"Dr. Akbar Sinaga M.Ked(Cardio), Sp.JP",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Akbar Sinaga M.Ked(Cardio), Sp.JP - halodoc"
Dr. Alfa Alfin N Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Alfa Alfin N Sp.JP - halodoc
Dr. Andi Armina Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Andi Armina Sp.JP - halodoc
"Dr. Andrew E.P. Sunardi Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Andrew E.P. Sunardi Sp.JP, FIHA - halodoc"
"dr. Andrico Napolin Lumbang Tobing, M.Ked., Sp.JP., FIHA",Klinik Atlantis Medan,36.02743,987.0834649,"Percut Sei Tuan, Kabupaten Deli Serdang","dr. Andrico Napolin Lumbang Tobing, M.Ked., Sp.JP., FIHA - Klinik Atlantis Medan"
"Dr. Anindia Wardhani Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Anindia Wardhani Sp.JP, FIHA - halodoc"
"Dr. Annisa Tridamayanti Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Annisa Tridamayanti Sp.JP, FIHA - halodoc"
Dr. Antono Sutandar Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Antono Sutandar Sp.JP - halodoc
Appletestppedoc,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Appletestppedoc - halodoc
"dr. Arief, Sp.JP",RS Hermina Opi Jakabaring,-3.0338819,104.7909939,"Rambutan, Kota Palembang","dr. Arief, Sp.JP - RS Hermina Opi Jakabaring"
"dr. Asep Sopandiana Angga, Sp.JP., FIHA",RS Permata Cirebon,-6.7083647,108.5337338,"Kedawung, Kabupaten Cirebon","dr. Asep Sopandiana Angga, Sp.JP., FIHA - RS Permata Cirebon"
Dr. Bambang Gunawan Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Bambang Gunawan Sp.JP - halodoc
"Dr. Basten Jeremiah Siahaan M.Ked, Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Basten Jeremiah Siahaan M.Ked, Sp.JP, FIHA - halodoc"
"Dr. Bayushi Eka Putra Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Bayushi Eka Putra Sp.JP, FIHA - halodoc"
Dr. Benny Antama Syant Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Benny Antama Syant Sp.JP - halodoc
Dr. Danang Setia Budi Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Danang Setia Budi Sp.JP - halodoc
Dr. Daniel Budiono Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Daniel Budiono Sp.JP - halodoc
"Dr. Dea Arie Kurniawan Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Dea Arie Kurniawan Sp.JP, FIHA - halodoc"
"Dr. Denny Suwanto Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Denny Suwanto Sp.JP, FIHA - halodoc"
"Dr. Dian Puspita Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Dian Puspita Sp.JP, FIHA - halodoc"
"Dr. Doddy Moniaga Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Doddy Moniaga Sp.JP, FIHA - halodoc"
"Dr. Fadma Yuliani Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Fadma Yuliani Sp.JP, FIHA - halodoc"
"Dr. Fathlina Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Fathlina Sp.JP, FIHA - halodoc"
Dr. Fathy Fathini Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Fathy Fathini Sp.JP - halodoc
"Dr. Giovanni Gerry Tampi Sp.JP, FIHA, AIFO-K",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Giovanni Gerry Tampi Sp.JP, FIHA, AIFO-K - halodoc"
"dr. H. Muhammad Edial Sanif, Sp.JP., FIHA., FAsCC., FICA",RS Permata Cirebon,-6.7083647,108.5337338,"Kedawung, Kabupaten Cirebon","dr. H. Muhammad Edial Sanif, Sp.JP., FIHA., FAsCC., FICA - RS Permata Cirebon"
"Dr. Harry Pribadi Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Harry Pribadi Sp.JP, FIHA - halodoc"
"Dr. Helmi Agung Prasetyo Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Helmi Agung Prasetyo Sp.JP, FIHA - halodoc"
Dr. I Gede Parama Gandi Semita Sp.JP FIHA,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. I Gede Parama Gandi Semita Sp.JP FIHA - halodoc
"dr. I Ketut Raditya Surya, M. Biomed, Sp.JP, FIHA",RS Surya Husadha Denpasar Bali,-8.6783248,115.2133124,"Denpasar Barat, Kota Denpasar","dr. I Ketut Raditya Surya, M. Biomed, Sp.JP, FIHA - RS Surya Husadha Denpasar Bali"
"dr. I Nyoman Sukamiartadana, Sp.JP",RS Surya Husadha Denpasar Bali,-8.6783248,115.2133124,"Denpasar Barat, Kota Denpasar","dr. I Nyoman Sukamiartadana, Sp.JP - RS Surya Husadha Denpasar Bali"
Dr. Ida Bagus Komang Arjawa Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Ida Bagus Komang Arjawa Sp.JP - halodoc
"dr. Ignatius Faizal Yuwono, Sp.JP",Columbia Asia Hospital Semarang,-6.9841995,110.3829275,"Semarang Barat, Kota Semarang","dr. Ignatius Faizal Yuwono, Sp.JP - Columbia Asia Hospital Semarang"
dr. Iin Irnawati Sp.JP,Columbia Asia Hospital Semarang,-6.9841995,110.3829275,"Semarang Barat, Kota Semarang",dr. Iin Irnawati Sp.JP - Columbia Asia Hospital Semarang
"dr. Ike Adriana, Sp.JP., FIHA",RS St. Carolus Salemba,-6.1955107,106.8513711,"Senen, Jakarta Pusat","dr. Ike Adriana, Sp.JP., FIHA - RS St. Carolus Salemba"
Dr. Infan Ketaren Sp.JP(K),halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Infan Ketaren Sp.JP(K) - halodoc
"Dr. Jacky Hartanto Tungadi Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Jacky Hartanto Tungadi Sp.JP, FIHA - halodoc"
"Dr. Julio Ulaan B.Med.Sc, Sp.JP(K)",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Julio Ulaan B.Med.Sc, Sp.JP(K) - halodoc"
Dr. Kamalia Halid Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Kamalia Halid Sp.JP - halodoc
Dr. Komang Surya Bhuana R Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Komang Surya Bhuana R Sp.JP - halodoc
Dr. Lia Susanti Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Lia Susanti Sp.JP - halodoc
"Dr. Lyra Febrianda Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Lyra Febrianda Sp.JP, FIHA - halodoc"
Dr. M Agi Ramadhani Gustisiya Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. M Agi Ramadhani Gustisiya Sp.JP - halodoc
"Dr. Maruli Tua Sianipar Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Maruli Tua Sianipar Sp.JP, FIHA - halodoc"
"Dr. Mohammad Zakky Fananie Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Mohammad Zakky Fananie Sp.JP, FIHA - halodoc"
"Dr. Muchtar Nora Ismail Siregar Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Muchtar Nora Ismail Siregar Sp.JP, FIHA - halodoc"
Dr. Muh. Nirsyad Saphiro Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Muh. Nirsyad Saphiro Sp.JP - halodoc
Dr. Nadia Sp.JP-FIHA,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Nadia Sp.JP-FIHA - halodoc
"Dr. Patricia Wagey Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Patricia Wagey Sp.JP, FIHA - halodoc"
"Dr. Prayoga Setiawan Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Prayoga Setiawan Sp.JP, FIHA - halodoc"
"dr. Putri Rachmawati Rachmawati, Sp.JP, FIHA",Primaya Hospital Semarang,-7.0235733,110.4616797,"Tembalang, Kota Semarang","dr. Putri Rachmawati Rachmawati, Sp.JP, FIHA - Primaya Hospital Semarang"
Dr. Rika Permata Sari Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Rika Permata Sari Sp.JP - halodoc
"Dr. Rio Probo Kaneko Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Rio Probo Kaneko Sp.JP, FIHA - halodoc"
Dr. Ronaldo Simamora Sp.JP-FIHA,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Ronaldo Simamora Sp.JP-FIHA - halodoc
"Dr. Singgih Subakti Cahyadi Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Singgih Subakti Cahyadi Sp.JP, FIHA - halodoc"
"Dr. Taufik Hidayat M.M, M.Ked, Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Taufik Hidayat M.M, M.Ked, Sp.JP, FIHA - halodoc"
Dr. Teuku Thoriq Sp.JP-FIHA,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Teuku Thoriq Sp.JP-FIHA - halodoc
Dr. Vitri Alya Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",Dr. Vitri Alya Sp.JP - halodoc
"Dr. Willy Suryawan Sp.JP, FIHA",halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan","Dr. Willy Suryawan Sp.JP, FIHA - halodoc"
dr Chanramin Sp.JP,halodoc,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",dr Chanramin Sp.JP - halodoc
dr. Ronaldi SP.JP,OTHERS,-5.9994441713550595,113.71551751063463,"Setiabudi, Jakarta Selatan",dr. Ronaldi SP.JP - OTHERS
"dr. Detrianae, Sp.JP",RS Permata Pamulang,-6.3440623,106.7190683,"Pamulang, Kota Tangerang Selatan","dr. Detrianae, Sp.JP - RS Permata Pamulang"
"dr. Irwan Meidi Loebis, Sp.JP, FIHA",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Irwan Meidi Loebis, Sp.JP, FIHA - RS Jantung Hasna Medika Cirebon"
dr. Ahmad Saifudin Batubara (TESTING--),RS Okadoc,25.1258341,552.091554,Kota Jakarta Selatan,dr. Ahmad Saifudin Batubara (TESTING--) - RS Okadoc
"dr. Ayub Basaldi Nugraha Raharja, Sp.JP",RS Muhammadiyah Taman Puring,-6.2417177,106.7875121,"Kebayoran Baru, Kota Jakarta Selatan","dr. Ayub Basaldi Nugraha Raharja, Sp.JP - RS Muhammadiyah Taman Puring"
"dr. Ni Wayan Lena Agustini, M.Biomed, Sp.JP",Kasih Ibu Hospital Denpasar,-8.6776375,115.2053008,"Denpasar Barat, Kota Denpasar","dr. Ni Wayan Lena Agustini, M.Biomed, Sp.JP - Kasih Ibu Hospital Denpasar"
"dr. Gugun Iskandar Hadiyat, Sp.JP, FIHA, FAsCC",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Gugun Iskandar Hadiyat, Sp.JP, FIHA, FAsCC - RS Jantung Hasna Medika Cirebon"
"Dr. dr. Chaerul Achmad, Sp.JP (K), FIHA, FAsCC",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","Dr. dr. Chaerul Achmad, Sp.JP (K), FIHA, FAsCC - RS Jantung Hasna Medika Cirebon"
"dr. Yogi Puji Rachmawan, Sp.JP, FIHA",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Yogi Puji Rachmawan, Sp.JP, FIHA - RS Jantung Hasna Medika Cirebon"
"dr. I Ketut Raditya Surya, M. Biomed, Sp.JP, FIHA",RSU Surya Husadha Denpasar,-8.6228373,115.1992444,"Denpasar Barat, Kota Denpasar","dr. I Ketut Raditya Surya, M. Biomed, Sp.JP, FIHA - RSU Surya Husadha Denpasar"
"dr. Eko Saputra, M.Biomed, Sp.JP, FIHA",RS Grha Permata Ibu,-6.370701,106.8137352,"Beji, Kota Depok","dr. Eko Saputra, M.Biomed, Sp.JP, FIHA - RS Grha Permata Ibu"
"dr. Gede Angga Permana Astara Wangsa, Sp.JP, FIHA",Kasih Ibu Hospital Kedonganan,-8.760138,115.175943,"Kuta, Kabupaten Badung","dr. Gede Angga Permana Astara Wangsa, Sp.JP, FIHA - Kasih Ibu Hospital Kedonganan"
"dr. Adhi Kurniawan, Sp.JP",RS Permata Pamulang,-6.3440623,106.7190683,"Pamulang, Kota Tangerang Selatan","dr. Adhi Kurniawan, Sp.JP - RS Permata Pamulang"
"dr. I Putu Parwata Jaya, Sp.JP, FIHA",RSU Surya Husadha Denpasar,-8.6228373,115.1992444,"Denpasar Barat, Kota Denpasar","dr. I Putu Parwata Jaya, Sp.JP, FIHA - RSU Surya Husadha Denpasar"
"dr. Armand Ronald Ruhukail, Sp.JP, FIHA, FAsCC",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Armand Ronald Ruhukail, Sp.JP, FIHA, FAsCC - RS Jantung Hasna Medika Cirebon"
"dr. Pri Utomo, Sp.JP",RS Muhammadiyah Taman Puring,-6.2417177,106.7875121,"Kebayoran Baru, Kota Jakarta Selatan","dr. Pri Utomo, Sp.JP - RS Muhammadiyah Taman Puring"
"dr. Retna Dewayani, Sp.JP (K), FSCAI",RS Permata Pamulang,-6.3440623,106.7190683,"Pamulang, Kota Tangerang Selatan","dr. Retna Dewayani, Sp.JP (K), FSCAI - RS Permata Pamulang"
"dr. A.M Onny Witjaksono, Sp.JP, FIHA",RS St. Carolus,-6.1955107,106.8513711,"Senen, Kota Jakarta Pusat","dr. A.M Onny Witjaksono, Sp.JP, FIHA - RS St. Carolus"
"dr. Abdullah Zaini, Sp.JP (K), FIHA",RS Meilia,-6.3765351,106.9019758,"Cimanggis, Kota Depok","dr. Abdullah Zaini, Sp.JP (K), FIHA - RS Meilia"
"dr. Achmad Fauzi Yahya, Sp.JP",RS Santosa Bandung Central,-6.9154958,107.600376,"Andir, Kota Bandung","dr. Achmad Fauzi Yahya, Sp.JP - RS Santosa Bandung Central"
"dr. Addiena Primawati, Sp.JP, FIHA",RS Islam Jakarta Cempaka Putih,-6.1706772,106.8708824,"Cempaka Putih, Kota Jakarta Pusat","dr. Addiena Primawati, Sp.JP, FIHA - RS Islam Jakarta Cempaka Putih"
"dr. Detrianae, Sp.JP",RS Permata Pamulang,-6.3440623,106.7190683,"Pamulang, Kota Tangerang Selatan","dr. Detrianae, Sp.JP - RS Permata Pamulang"
"dr. Irwan Meidi Loebis, Sp.JP, FIHA",RS Jantung Hasna Medika Cirebon,-6.7094163,108.4332186,"Palimanan, Kabupaten Cirebon","dr. Irwan Meidi Loebis, Sp.JP, FIHA - RS Jantung Hasna Medika Cirebon"
dr. Ahmad Saifudin Batubara (TESTING--),RS Okadoc,25.1258341,552.091554,Kota Jakarta Selatan,dr. Ahmad Saifudin Batubara (TESTING--) - RS Okadoc
"dr. Ayub Basaldi Nugraha Raharja, Sp.JP",RS Muhammadiyah Taman Puring,-6.2417177,106.7875121,"Kebayoran Baru, Kota Jakarta Selatan","dr. Ayub Basaldi Nugraha Raharja, Sp.JP - RS Muhammadiyah Taman Puring"
